ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since
MONC.MI,Moncler S.p.A.,Consumer Cyclical,11861472256.0,18.557447,17.056145,3.2508388,3.16,2.304,33.88,0.18122,0.10515472428577949,0.19958,0.052,0.071,687923968.0,11954962432.0,910204992.0,913356000.0,3132128000.0,1236274944.0,1142878976.0,13.415,5959504000.0,2372639000.0,,979764000.0,626670000.0,960515000.0,0.7810016065754656,,271598300.0,0.11619321330017313,0.7805134509560221,2.42164337534345,2.161133793214479,0.18935434895253028,0.1739108634793872,0.525568570807235,0.5647875681930897,270606444.0,42805000.0,43.61,[],{},0.05799650778190886,13.134362629380085,13.08905008780804,0.0763997382003651,0.05388672267257452,,0.18341439512906296,1.0,20,20,0.7000000000000002,10.0,22.0,0.6337545454545455,0.6337545454545455,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7124333333333334,True,1.0,0.7475,strong_buy,4,12,stable,0.7238,persistent,2026-07-18
ENI.MI,Eni S.p.A.,Energy,69984485376.0,12.6953125,10.085484,1.5442853,4.49,1.48,64.975,0.10901,0.019026913452348818,0.05874,0.185,5.806,-8982875136.0,97869783040.0,13235999744.0,4506000000.0,82151000000.0,36990001152.0,15088000000.0,15.784,137069000000.0,48867000000.0,,36815000000.0,2608000000.0,13330000000.0,0.0942897834475539,,2957681345.0,0.017857750495103412,0.11355113348423933,1.327366562542442,1.1376787237893322,0.24952396238390884,0.2507367002633746,0.5993404781533388,0.6043119934122323,3083270402.0,8170000000.0,24.375,[],{},-0.1283552359889257,7.394211614756586,21.719880834442964,0.04604076825385798,0.07876923076923077,,0.044945837572565685,1.0,20,20,0.6833333333333333,8.0,22.0,0.5527,0.5527,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6780916666666666,True,0.73335,0.7333,strong_buy,4,2,stable,0.5312,building,2026-08-16
FCT.MI,Fincantieri S.p.A.,Industrials,4227427584.0,22.179247,14.312152,2.6075866,,0.922,157.274,0.14936,0.011889684483874266,0.02169,-0.027,1.548,655885760.0,6104631808.0,606740992.0,160635000.0,8919859000.0,2510167040.0,590689024.0,4.508,10345018000.0,6467643000.0,,7336768000.0,122999000.0,596278000.0,0.21965504163238456,,324284998.0,0.0034335493737560666,0.21321133868068232,0.8815384376335738,1.0111727701485842,0.221816143770847,0.24317933307175346,0.862237165754569,0.8314569928411337,322752243.0,176436000.0,11.755,[],{},0.15515008760467036,10.061347244525717,38.00312390201388,0.02631362628446993,0.045087193447099445,,0.05339815507354775,0.95,19,20,0.696078431372549,6.0,22.0,0.36731363636363634,0.36731363636363634,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"cheapness,quality,garp,risk",0.42959499999999995,True,0.7,0.7396,buy,3,3,stable,0.4774,building,2026-08-02
PST.MI,Poste Italiane S.p.A.,Industrials,33201274880.0,13.897297,12.946728,2.5925179,4.91,0.506,631.496,0.18174,0.007625936450529579,0.16625,0.034,-0.058,4330625024.0,100986052608.0,4230000128.0,3626000000.0,23257000000.0,87178002432.0,19623999488.0,9.917,290325000000.0,48820000000.0,,97676000000.0,2214000000.0,2703000000.0,0.2797437330696135,,1294115890.0,0.007196010075857639,0.2685600177501664,0.49981571726933943,0.5430116463326795,0.03626625333677775,0.03429111722206584,0.08010677688797038,0.0813250185854824,1294617396.0,67000000.0,25.71,[],{},0.1304355040477289,23.873770579706232,27.8505385019305,0.03590594845879492,0.07195643872329993,,0.018821795078095397,1.0,20,20,0.7033333333333334,7.0,22.0,0.5232409090909091,0.5232409090909091,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6085616666666667,True,0.7,0.6933,buy,3,1,improving,0.4364,new,2026-09-26
BZU.MI,Buzzi S.p.A.,Basic Materials,6477977600.0,7.710084,7.527479,0.889697,1.89,4.391,6.827,0.12303001,0.10323051026391253,0.18964,0.001,-0.153,19885500.0,5835403264.0,1153592064.0,898941000.0,4518779000.0,501640000.0,1208824064.0,41.25,8924813000.0,3211776000.0,,700790000.0,921313000.0,914060000.0,0.6455708500017372,,181024878.0,0.10845635606412432,0.6541418494670924,4.583079096448294,3.487101387768477,0.04941705781398445,0.06992801350300716,0.5063163788417752,0.4964112639387876,181072568.0,41877000.0,36.7,[],{},0.0030697080520932954,5.058463425767811,6.491419641556009,0.15404950769140194,0.1297002730450148,,0.10930672251281398,1.0,20,20,0.6539444733194734,15.0,22.0,0.7127863636363636,0.7127863636363636,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6712616666666666,True,0.83335,0.671,buy,3,2,stable,0.4969,building,2026-08-16
UNI.MI,Unipol Assicurazioni S.p.A.,Financial Services,19278497792.0,11.246861,11.859381,1.9194516,4.15,4.01,40.819,0.16938,0.016390904264731904,0.15332,0.232,0.772,2047374976.0,22248499200.0,3452000000.0,,13713000000.0,4822000128.0,2132000000.0,14.004,90416000000.0,,,,1482000000.0,4593000000.0,,,715164078.0,0.012873838777344921,,,,0.055388426827110246,0.06651483368294876,0.15166563440099098,0.1579502547198082,716171308.0,,26.88,[],{},0.10619992273721655,6.445104055619931,,,0.08891369778643125,,,0.9,18,20,0.6478787878787877,13.0,22.0,0.6962909090909093,0.6962909090909093,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.787355,True,0.9,0.6515,buy,3,2,stable,0.4385,building,2026-08-16
AMP.MI,Amplifon S.p.A.,Healthcare,3074709760.0,37.32258,13.1422,2.03125,2.45,0.733,117.681,0.05737,0.023461590232103646,0.03011,0.022,0.055,354010880.0,4145005568.0,346204000.0,204778000.0,2395705000.0,1781863040.0,711990016.0,5.696,3892916000.0,763038000.0,,1256378000.0,91334000.0,414767000.0,0.5347419653087504,,219937482.0,0.03640938277813704,0.5660849205206121,0.607331551491669,0.6196898594216224,0.4677241944085102,0.43236962283251545,0.6154011543018139,0.6034021061110079,225320371.0,59674000.0,11.57,[],{},0.11513635680526801,11.972725814837494,20.241459375518854,0.04940355245380457,0.02679343175096684,,0.07766927690782383,1.0,20,20,0.5666666666666667,4.0,22.0,0.3775727272727272,0.3775727272727272,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,4,5,"cheapness,dividend,garp,risk",0.44821333333333335,True,0.8,0.6333,buy,3,2,stable,0.36,building,2026-08-16
REC.MI,Recordati Industria Chimica e Farmaceutica S.p.A.,Healthcare,10855094272.0,22.268906,14.090124,5.094684,2.68,1.257,108.586,0.24851999,0.08446320879999619,0.18378,0.083,0.286,540969984.0,12777276416.0,1014124992.0,719739000.0,2618383000.0,2313564928.0,391383008.0,10.403,5252275000.0,1677905000.0,,1052682000.0,443624000.0,596897000.0,0.6827416004457713,,204355889.0,0.08112019678816934,0.6834216007369449,1.5939334005901118,1.6052801813447801,0.46979375603904977,0.4838735562002199,0.49852359215768405,0.45604820764813403,206296235.0,99287000.0,53.0,[],{},0.04983558598799058,12.599311245452474,17.75265258100506,0.05632961020540545,0.0449056635292277,,0.1713830364037658,1.0,20,20,0.6166666666666666,8.0,22.0,0.5237,0.5237,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6438333333333334,True,0.9,0.6167,buy,3,2,stable,0.4625,building,2026-08-16
IVG.MI,Iveco Group N.V.,Industrials,3752826368.0,61.260868,6.706554,1.5206131,2.35,1.911,233.426,0.02429,0.015320998780681758,0.09864,0.073,-0.642,1467874944.0,7353826304.0,436000000.0,684000000.0,13428000000.0,5907999744.0,2369999872.0,9.266,18863000000.0,12679000000.0,,7013000000.0,289000000.0,1110000000.0,0.15638963360142985,,266346803.0,0.017955445799248855,0.16959145453284316,1.8079281334664195,1.96247009569378,0.3213168637014261,0.32443278283685756,0.7118697980172826,0.7417296907959047,264333778.0,229000000.0,14.09,[],{},0.3911385180290867,16.866574091743118,10.751208046783626,0.09301280336577283,0.016323634199894133,,0.05772151898734177,1.0,20,20,0.5483333333333333,5.0,22.0,0.39749999999999996,0.39749999999999996,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,3,5,"cheapness,garp,risk",0.43967833333333334,True,0.8,0.6033,buy,3,2,stable,0.2591,building,2026-08-16
INW.MI,Infrastrutture Wireless Italiane S.p.A.,Real Estate,5893264896.0,17.64865,18.328796,1.9411415,8.41,0.371,176.713,0.098620005,0.03765387287306783,0.31455,-0.008,-0.126,498983136.0,11540874240.0,763728000.0,588441000.0,1077163000.0,5551414784.0,97573000.0,3.364,9601270000.0,444480000.0,,753753000.0,361525000.0,799575000.0,0.9852185788037651,,902344843.0,0.03731413069043972,0.9761147296039906,0.5896891952668845,0.37007733477998456,0.5535954097739153,0.4882392984304973,0.11218963741255063,0.10922473061383747,931774003.0,138733000.0,6.53,[],{},0.0846700674084208,15.111236251649801,19.612627672103066,0.05098755846073581,0.05666155768288226,,0.06650916861759068,1.0,20,20,0.5672154365904366,6.0,22.0,0.4983499999999999,0.4983499999999999,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5899666666666666,True,0.6,0.6024,buy,3,2,stable,0.4386,building,2026-08-16
BC.MI,Brunello Cucinelli S.p.A.,Consumer Cyclical,5505280000.0,0.0007232129,30.86189,10.047158,1.28,1.354,217.133,0.26791,0.06677380752227706,0.0936,0.095,0.038,169665248.0,6568595968.0,304871008.0,242357000.0,1407951000.0,1227437952.0,181460000.0,8.058,2022260000.0,769946000.0,,544047000.0,135034000.0,242607000.0,0.9152214814293963,,68000000.0,0.06847296653720314,0.9222683686079435,1.4152196409501385,1.4022350012944416,0.5871430973267532,0.5513157540319091,0.6962264990654021,0.7327326088189935,67950000.0,40246000.0,80.96,[],{},0.03081864101371774,21.545492341469217,27.10297605598353,0.03689631714002233,1382.7186987400253,,0.16395269152686384,1.0,20,20,0.5675,8.0,22.0,0.5723363636363635,0.5723363636363635,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6829516666666666,True,0.8,0.56,buy,3,2,stable,0.4228,building,2026-08-16
BMPS.MI,Banca Monte dei Paschi di Siena S.p.A.,Financial Services,35901947904.0,9.846666,13.24842,1.3597239,7.23,,,0.15022,0.01123862463608182,0.52342,0.995,-0.472,,74547748864.0,,,5001743000.0,74527899648.0,38134099968.0,8.69,241640511000.0,,,,2715707000.0,1737833000.0,,,3038185181.0,0.015911542861337623,,,,0.2142435048897906,0.10217610270652744,0.020699107857787967,0.0342608160160846,1259689706.0,2084135000.0,11.816,[],{},,,,,0.1015572174378617,,,0.7,14,20,0.8467532467532468,8.0,22.0,0.5160227272727274,0.5160227272727274,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,4,5,"cheapness,quality,dividend,garp",0.5397233333333333,False,0.36665000000000003,0.9441,hold,2,12,stable,0.5014,persistent,2026-07-18
NEXI.MI,Nexi S.p.A.,Technology,4816354816.0,,6.1723747,0.70823973,7.24,1.004,86.669,-0.3861,-0.16690555033855584,-0.5299,0.016,0.303,786499968.0,8844355584.0,1219000064.0,822000000.0,6274000000.0,5903000064.0,1884999936.0,5.789,20233000000.0,6851000000.0,,6359000000.0,-3377000000.0,1226000000.0,0.4808734459674849,,1172053696.0,0.006817439581972567,0.45972495088408644,1.0773706557634848,1.058524932815766,0.3322295260218455,0.11414108425865448,0.31008748084811943,0.24934683213585893,1229359217.0,252000000.0,4.1,[],{},0.16329776315217387,7.255418473874665,10.759556671532847,0.092940632270264,,,0.059247513334294365,0.95,19,20,0.8062837837837837,6.0,22.0,0.5418045454545454,0.5418045454545454,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,2,5,"cheapness,dividend",0.4513516666666667,False,0.55,0.9238,hold,2,12,stable,0.3287,persistent,2026-07-18
BAMI.MI,Banco BPM S.p.A.,Financial Services,24410126336.0,12.767716,11.354883,1.5628916,6.14,,,0.12613,0.010111822938135553,0.36146998,-0.055,-0.187,,50935341056.0,,,6639492000.0,51835170816.0,25400147968.0,10.375,205896307000.0,,,,2081987000.0,-3542412000.0,,,1503373604.0,0.009688723302579968,,,,0.1393906593963339,0.14827681941746698,0.032246775557756846,0.03444101430122626,1501382319.0,2370076000.0,16.215,[],{},,,,,0.07832254414180265,,,0.7,14,20,0.6103896103896104,5.0,22.0,0.4652181818181818,0.4652181818181818,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,3,5,"cheapness,dividend,garp",0.5173516666666667,False,0.36665000000000003,0.7133,hold,2,12,stable,0.278,persistent,2026-07-18
BPE.MI,BPER Banca SpA,Financial Services,29516021760.0,12.895412,10.800925,1.6276054,8.85,,,0.15279001,0.008885645518816617,0.31531,0.54,0.15,,57111830528.0,,,6973747000.0,43813552128.0,16077682688.0,8.636,204649960000.0,,,,1818447000.0,3121933000.0,,,1961998586.0,0.009976774402582371,,,,0.12152684515550358,0.1413213359972036,0.034076464026672665,0.04259413190983075,1415511825.0,1371617000.0,14.056,[],{},,,,,0.07754696011263541,,,0.7,14,20,0.6480519480519481,8.0,22.0,0.5187318181818182,0.5187318181818182,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,4,5,"cheapness,quality,dividend,garp",0.60549,False,0.53335,0.7063,hold,2,12,stable,0.3792,persistent,2026-07-18
