Schedule of Purchases
Shares purchased: 1,217,790 (ISIN:GB0033195214)
Date of purchases: 01 September 2026 to 02 September 2026
Investment firm: Goldman Sachs International
Aggregate information:
Date of 
purchase
Trading 
venue
Number of 
shares
Volume weighted average 
price paid per share (GBP)
Highest price paid 
per share (GBP)
Lowest price paid 
per share (GBP)
01/09/2026 XLON 418,578 £3.0926 £3.1000 £3.0710
01/09/2026 TRQX 46,949 £3.0945 £3.1000 £3.0780
01/09/2026 CHIX 165,926 £3.0944 £3.1000 £3.0720
01/09/2026 BATE 54,538 £3.0938 £3.1000 £3.0730
01/09/2026 AQXE 55,027 £3.0936 £3.1000 £3.0740
02/09/2026 XLON 476,772 £3.0352 £3.0610 £3.0140
Individual transactions:
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
01/09/2026 10:55:16 3.0870 XLON 666 1512859892752406
01/09/2026 10:55:16 3.0870 XLON 1,079 1512859892752407
01/09/2026 10:55:58 3.0900 XLON 697 1512859892752506
01/09/2026 10:59:00 3.0920 CHIX 1,124 120001ETA
01/09/2026 10:59:00 3.0920 XLON 1,103 1512859892752782
01/09/2026 10:59:00 3.0920 TRQX 1,367 1512859951455725
01/09/2026 10:59:00 3.0920 AQXE 1,251 67706
01/09/2026 11:05:41 3.0920 CHIX 1,682 120001FZW
01/09/2026 11:05:41 3.0920 XLON 1,314 1512859892753723
01/09/2026 11:05:41 3.0920 TRQX 1,704 1512859951456364
01/09/2026 11:05:41 3.0920 BATE 171 20000Z7D
01/09/2026 11:05:41 3.0920 BATE 907 20000Z7E
01/09/2026 11:05:41 3.0920 AQXE 1,316 69490
01/09/2026 11:05:56 3.0910 CHIX 1,471 120001G1N
01/09/2026 11:05:56 3.0900 CHIX 1,543 120001G1S
01/09/2026 11:05:56 3.0890 CHIX 1,175 120001G1U
01/09/2026 11:05:56 3.0910 XLON 1,066 1512859892753755
01/09/2026 11:05:56 3.0900 XLON 682 1512859892753757
01/09/2026 11:05:56 3.0890 XLON 481 1512859892753759
01/09/2026 11:05:56 3.0890 XLON 402 1512859892753760
01/09/2026 11:05:56 3.0890 XLON 632 1512859892753761
01/09/2026 11:05:56 3.0910 TRQX 1,310 1512859951456396
01/09/2026 11:05:56 3.0910 BATE 1,620 20000Z9G
01/09/2026 11:05:56 3.0900 BATE 1,762 20000Z9H
01/09/2026 11:05:56 3.0890 BATE 1,102 20000Z9I
01/09/2026 11:05:56 3.0890 BATE 173 20000Z9J
