ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank
CAPD.L,Capital Limited,Basic Materials,235858144.0,4.019231,7.671362,0.8481666,1.83,2.472,33.679,0.21179001,0.10993285526791319,0.20058,0.045,6.393,43112248.0,216127456.0,78308000.0,50870000.0,345775000.0,130905000.0,163176992.0,1.2320693,630876000.0,336700000.0,,136229000.0,69354000.0,,0.4318530836526643,,225303781.0,0.031189547581903277,0.41220114942528735,2.4715736003347306,1.9824660735148738,0.207497194377342,0.290503120124805,0.5480871042803974,0.6786271450858035,196257124.0,14267000.0,104.5,[],{},0.18278888856176193,2.7599664912908004,4.2486230784352275,0.23537037330416732,0.24880381346580974,,0.10284101591640099,0.95,19,20,0.7385714285714287,18.0,22.0,0.8262727272727272,0.8262727272727272,0.8181818181818182,0.0,1.0,0.8181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8191366666666667,True,0.83335,0.7157,strong_buy,4
ULTP.L,Ultimate Products Plc,Consumer Cyclical,41882544.0,12.550001,7.2490973,0.9045045,6.08,1.248,34.635,0.08151,0.09056029180251714,0.02688,-0.063,-0.524,16196500.0,54711624.0,8577000.0,15694000.0,155497000.0,16077000.0,3351000.0,0.555,116243000.0,71688000.0,,56147000.0,10527000.0,,0.2601593599876525,,86152136.0,0.11470389880247162,0.2570243213179809,1.2767912800327712,1.3243232106802918,0.16687456448990476,0.2276488708236881,1.3376891511746944,1.5157300913183749,89312457.0,1380000.0,50.2,[],{},0.38671242128940403,6.378876530255334,3.486149101567478,0.28684946365328146,0.07968126855129334,,0.2611488285410011,0.95,19,20,0.675357142857143,10.0,22.0,0.6793454545454546,0.6793454545454546,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,4,5,"cheapness,dividend,garp,risk",0.6640733333333333,True,0.83335,0.7129,buy,3
SFR.L,Severfield plc,Industrials,112207264.0,,8.392226,0.7676768,,1.048,48.449,-0.21608,0.01651,-0.07839,0.249,,42982752.0,159234160.0,19762000.0,,454254016.0,71046000.0,24361000.0,0.495,400902000.0,146618000.0,,122897000.0,,,,,295282269.0,-0.03722681747311118,0.48686553725441495,1.1930152892259371,1.1530887862681884,0.197706671455867,0.11226447504030021,1.133079944724646,1.1915990592214794,307131912.0,,38.0,[],{},0.3830656810240022,8.05759336099585,,,,,,0.75,15,20,0.6499999999999999,4.0,22.0,0.3451090909090909,0.3451090909090909,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,2,5,"cheapness,risk",0.29264999999999997,True,0.75,0.7091,buy,3
BOOT.L,Henry Boot PLC,Real Estate,218219504.0,10.15625,10.389361,0.5150555,4.84,4.853,27.711,0.04343,0.035938328562848905,0.09349,,,9288250.0,324005024.0,30255000.0,25239000.0,251549000.0,116425000.0,8399000.0,3.155,654371000.0,454803000.0,,93722000.0,23517000.0,,0.2616746637831993,,133842425.0,0.037414093342013524,0.2702372723447737,4.8526813341584685,4.522863406804213,0.17791894811964468,0.12739199733180254,0.38441342907922266,0.4268346262759724,133742811.0,7975000.0,162.5,[],{},0.04256379393108693,10.709139778549,12.837474701850311,0.07789694026472874,0.09846153846153846,,0.04501747082399148,0.95,19,20,0.6642857142857144,7.0,22.0,0.5477818181818181,0.5477818181818181,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,3,5,"cheapness,dividend,risk",0.47933000000000003,True,0.66665,0.6643,buy,3
REC.L,Record plc,Financial Services,85139160.0,10.9,9.258865,3.1366906,8.26,4.336,23.767,0.24706,0.18860999581249846,0.19097,0.019,-0.187,8337625.0,79327168.0,10368000.0,9528000.0,40096000.0,6609000.0,13027000.0,0.139,40597000.0,26499000.0,,6112000.0,7657000.0,,0.9953611332801277,,195273312.0,0.22922169811320756,0.9886579358404421,4.335569371727749,4.391729443821125,0.16279528043944133,0.16757075471698113,0.9876591866394069,0.9814858490566037,193158618.0,397000.0,43.6,[],{},0.09792937820857053,7.651154320987654,8.325689336691855,0.12011017461256149,0.09174311926605504,,0.27629404088734233,0.95,19,20,0.6340548340548341,12.0,22.0,0.7052727272727273,0.7052727272727273,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.736505,True,0.83335,0.6169,buy,3
GLE.L,MJ Gleeson plc,Consumer Cyclical,157507424.0,10.8,11.437285,0.5163511,4.07,3.874,9.396,0.04755,0.05106772438347613,0.03757,0.097,-0.54,-5829625.0,184728416.0,26889000.0,28371000.0,345345000.0,28661000.0,1440000.0,5.229,378047000.0,368218000.0,,63618000.0,19306000.0,,0.24478130565087086,,58271100.0,0.06422323079866499,0.27440081140598016,5.787953095035996,4.926949347399743,0.013426901946054327,0.01366892710614145,0.9134975280851323,0.8724277757700729,58342360.0,3434000.0,270.0,[],{},-0.03701174745896422,6.870036669269962,6.511170420499806,0.1535822187746145,0.09259259259259259,,0.09023022685566535,0.95,19,20,0.5210714285714286,10.0,22.0,0.6062090909090908,0.6062090909090908,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,4,5,"cheapness,dividend,garp,risk",0.5800716666666667,True,0.66665,0.5802,buy,3
RSE.L,Riverstone Energy Limited,Financial Services,27388584.0,,,0.47301528,,0.442,,-0.00187,-0.0037410328821371767,-0.01572,,,22194000.0,39736484.0,,,31652000.0,0.0,1923000.0,12.008068,123228000.0,,,,-461000.0,,,,7334416.0,-0.21162111190798735,,,,,,0.2568572077774532,-0.19881531064892288,25342691.0,,568.0,[],{},0.8103376209591558,,,,,,,0.65,13,20,0.7628571428571429,1.0,22.0,0.26417727272727276,0.26417727272727276,0.045454545454545456,0.0,1.0,0.045454545454545456,22.0,1,5,cheapness,0.18964166666666665,False,0.45,0.9286,hold,2
CARD.L,Card Factory plc,Consumer Cyclical,241517280.0,7.8555546,4.9614034,0.6897561,7.07,0.894,58.815,0.08896,0.047208352246935995,0.053540003,0.086,-0.315,70875000.0,434235744.0,87400000.0,59400000.0,582700000.0,208500000.0,18800000.0,1.025,660900000.0,104100000.0,,116400000.0,31200000.0,,0.323837309078428,,345829088.0,0.07764782326185835,0.35723502304147464,0.8943298969072165,0.9463087248322147,0.31547889241942806,0.299545159194282,0.8816765017400514,0.8812540610786225,348004716.0,15200000.0,70.7,[],{},0.29345726318216236,4.968372356979405,7.310366060606061,0.1367920555153562,0.12729845961480557,,0.10909090909090909,0.95,19,20,0.7971428571428572,11.0,22.0,0.6713772727272728,0.6713772727272728,0.5,0.0,1.0,0.5,22.0,3,5,"cheapness,dividend,garp",0.6375066666666667,False,0.73335,0.8388,hold,2
PHAR.L,Pharos Energy plc,Energy,105185816.0,,26.325535,0.49563324,5.24,4.112,,-0.022769999,-0.016377171215880892,-0.06151,-0.316,,59037500.0,64985812.0,53500000.0,9000000.0,114600000.0,0.0,40200000.0,0.5124757,403000000.0,66200000.0,,16100000.0,-6600000.0,,0.15881326352530542,,414117372.0,0.05523051720102972,0.35808823529411765,4.111801242236025,4.1807909604519775,0.0,0.000468055230517201,0.2843672456575682,0.3182775567516967,411271988.0,2300000.0,25.4,[],{},0.5612686410114459,1.214688074766355,7.2206457777777775,0.13849176801853302,,,0.023261824760920133,0.85,17,20,0.7000000000000001,5.0,22.0,0.46883181818181824,0.46883181818181824,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,1,5,cheapness,0.368595,False,0.65,0.8,hold,2
RWA.L,Robert Walters plc,Industrials,71699264.0,,-14.9294615,0.70871264,24.08,1.276,89.822,-0.22361,-0.09100169779286928,-0.03431,-0.126,,11800000.0,113499264.0,-11100000.0,-14900000.0,781100000.0,90900000.0,49100000.0,1.538,294500000.0,179100000.0,,140400000.0,-26800000.0,,0.3510434003328639,,65779140.0,-0.016877637130801686,0.3602735119381235,1.2756410256410255,1.4330218068535825,0.3086587436332767,0.24753867791842477,2.6522920203735145,2.5094233473980307,65774932.0,5100000.0,109.0,[],{},0.16457630583209334,-10.225158918918918,-7.617400268456376,-0.13127838432502964,,,-0.09669046073977937,0.9,18,20,0.7000000000000001,3.0,22.0,0.42985909090909097,0.42985909090909097,0.13636363636363635,0.0,1.0,0.13636363636363635,22.0,1,5,cheapness,0.3725216666666667,False,0.55,0.7956,hold,2
SDY.L,Speedy Hire Plc,Industrials,87597424.0,,4.3849525,0.6834532,5.26,0.85,224.844,-0.18332,-0.04626086956521739,-0.063930005,-0.01,,72737504.0,360997440.0,35100000.0,7600000.0,416100000.0,287800000.0,14400000.0,0.278,575000000.0,144000000.0,,169500000.0,-26600000.0,,0.5539533765921654,,461039106.0,-0.0021442495126705653,0.5667306769083054,0.8495575221238938,0.8646723646723646,0.5005217391304347,0.43099415204678365,0.7236521739130435,0.8120857699805069,460512069.0,18600000.0,19.0,[],{},0.8303612215811278,10.284827350427351,47.49966315789474,0.021052780872905914,,,0.0187422934648582,0.9,18,20,0.7466666666666667,2.0,22.0,0.35255454545454545,0.35255454545454545,0.09090909090909091,0.0,1.0,0.09090909090909091,22.0,1,5,cheapness,0.2741983333333333,False,0.35,0.7644,hold,2
